Sample Name,Target Name,Ct,Concentration,Media
FTA-3-1,S,21.45664787,3,FTA Card
Cotton-3-5,ORF1ab,21.46344185,3,Cotton
FTA-3-2,S,21.47709656,3,FTA Card
Cotton-3-5,S,21.47932625,3,Cotton
ACM-3-4,N,21.48359299,3,ACM
Cotton-3-5,N,21.50323677,3,Cotton
Flock-3-4,S,21.54893112,3,Flocked Swab
Cotton-3-2,N,21.55259132,3,Cotton
ACM-3-1,S,21.57480812,3,ACM
ACM-3-4,N,21.61858177,3,ACM
FTA-3-2,S,21.63594055,3,FTA Card
Glass-3-1,N,21.67066193,3,Glass Fiber Filter
ACM-3-4,S,21.71755981,3,ACM
Cotton-3-2,S,21.71916389,3,Cotton
Glass-3-1,S,21.84700012,3,Glass Fiber Filter
RV-3,ORF1ab,21.84941673,3,Viral Supernatant
Flock-3-3,ORF1ab,21.95928764,3,Flocked Swab
ACM-3-4,S,21.96192169,3,ACM
Cotton-3-5,S,21.99105072,3,Cotton
FTA-3-3,S,22.05961609,3,FTA Card
Flock-3-5,ORF1ab,22.12072945,3,Flocked Swab
Flock-3-4,S,22.12546921,3,Flocked Swab
ACM-3-1,ORF1ab,22.12561417,3,ACM
Flock-3-5,N,22.1338253,3,Flocked Swab
ACM-3-5,N,22.13507843,3,ACM
Flock-3-4,N,22.1585865,3,Flocked Swab
RV-3,ORF1ab,22.19334221,3,Viral Supernatant
Glass-3-1,N,22.2060585,3,Glass Fiber Filter
Glass-3-1,S,22.2663517,3,Glass Fiber Filter
Cotton-3-2,ORF1ab,22.2820816,3,Cotton
Glass-3-2,N,22.29000282,3,Glass Fiber Filter
Cotton-3-2,ORF1ab,22.33568954,3,Cotton
Glass-3-2,S,22.34433556,3,Glass Fiber Filter
Flock-3-5,ORF1ab,22.36839294,3,Flocked Swab
Flock-3-3,N,22.47058487,3,Flocked Swab
ACM-3-5,S,22.47375107,3,ACM
ACM-3-4,ORF1ab,22.52231598,3,ACM
Flock-3-4,ORF1ab,22.54391289,3,Flocked Swab
Flock-3-5,S,22.55616379,3,Flocked Swab
FTA-3-3,S,22.57346535,3,FTA Card
Glass-3-2,N,22.64829826,3,Glass Fiber Filter
ACM-3-4,ORF1ab,22.68977737,3,ACM
Glass-3-2,S,22.7622757,3,Glass Fiber Filter
Flock-3-5,S,22.77311707,3,Flocked Swab
ACM-3-3,N,22.77789879,3,ACM
Glass-3-4,N,22.79909897,3,Glass Fiber Filter
Flock-3-5,N,22.81527138,3,Flocked Swab
Glass-3-1,ORF1ab,22.8186512,3,Glass Fiber Filter
Flock-3-3,S,22.83125305,3,Flocked Swab
Glass-3-4,S,22.85352898,3,Glass Fiber Filter
